F=352.00Hz  G=396.00Hz  Gd=412.50Hz  A=440.00Hz  Ad=469.33Hz  B=495.00Hz  C=528.00Hz
Sample length=2s
Volume[0;1]=0,400000

AAd	AB	GdB	GB	GC	FC
0	1	2	3	4	5

S1	S2	Resp
5	2	1
3	0	1
1	5	2
4	1	1
2	1	1
5	3	1
3	1	1
4	2	1
1	2	2
5	1	1
4	5	2
2	4	2
3	4	2
5	4	1
3	5	2
0	4	2
4	0	1
5	0	1
2	5	2
2	3	2
2	0	1
0	2	2
0	3	2
1	0	0
1	3	2
3	2	1
4	3	2
0	1	2
1	4	2
0	5	2
3	2	1
4	3	1
1	0	1
3	4	2
4	1	1
0	5	2
4	0	1
3	5	2
2	3	2
0	4	2
5	1	1
2	4	1
2	5	2
3	0	1
3	1	1
1	3	2
4	5	2
1	4	2
0	1	2
4	2	1
1	2	2
2	1	1
0	2	2
0	3	2
5	3	1
5	2	1
1	5	2
5	0	1
2	0	1
5	4	2
0	3	2
3	4	1
4	0	1
1	2	2
4	1	1
3	1	1
2	0	1
0	2	2
5	2	2
1	3	2
5	3	1
2	3	2
0	4	2
1	4	2
4	3	2
2	1	1
5	1	1
5	4	2
2	4	2
5	0	1
0	1	1
1	0	1
3	2	1
2	5	2
3	5	2
4	5	2
3	0	1
0	5	2
1	5	2
4	2	1
